session_id,session_request_count,session_duration_seconds,requests_per_minute,failed_auth_ratio,error_ratio,unique_endpoint_count,endpoint_diversity,mean_request_interval,request_interval_std,night_activity_ratio,total_geo_distance_km,max_geo_distance_km,mean_geo_distance_km,burst_score,label,scenario,user_id,ip_address,frequency_risk,authentication_risk,error_risk,endpoint_risk,timing_risk,geographic_risk,burst_risk,abuse_score,risk_classification,detection_reasons
session_0018edb7e699,17,541.0,1.8853974121996304,0.0,0.1764705882352941,10,0.5882352941176471,31.823529411764707,41.65368425199272,0.0,0.0,0.0,0.0,0.1176470588235294,0,normal,user_0549,192.168.52.32,0.0,0.0,17.64705882352941,77.77777777777779,0,0.0,11.76470588235294,11.31,NORMAL,Unusual endpoint exploration
session_0044dfa964e1,21,26.0,48.46153846153846,0.0,0.1428571428571428,13,0.6190476190476191,1.238095238095238,0.5389584311207966,0.0,0.0,0.0,0.0,0.6666666666666666,0,normal,user_1901,192.168.125.22,76.92307692307692,0.0,14.28571428571428,100.0,100,0.0,66.66666666666666,51.81,SUSPICIOUS,High request frequency; Unusual endpoint exploration; Very short request intervals
session_00550e44336e,23,801.0,1.7228464419475655,0.0434782608695652,0.1304347826086956,11,0.4782608695652174,34.82608695652174,31.11657286269436,1.0,0.0,0.0,0.0,0.0434782608695652,0,normal,user_0963,192.168.142.206,0.0,4.347826086956521,13.04347826086956,88.88888888888889,0,0.0,4.347826086956521,11.71,NORMAL,Unusual endpoint exploration
session_005a3966cab0,21,698.0,1.8051575931232091,0.0476190476190476,0.0476190476190476,9,0.4285714285714285,33.23809523809524,28.03908836232869,1.0,0.0,0.0,0.0,0.0476190476190476,0,normal,user_0521,192.168.132.102,0.0,4.76190476190476,4.76190476190476,66.66666666666666,0,0.0,4.76190476190476,8.81,NORMAL,No major behavioral anomaly detected
session_005bb65df088,28,125.0,13.44,0.2142857142857142,0.2142857142857142,4,0.1428571428571428,4.464285714285714,2.47179860825844,0.0,6117.402366457893,6117.402366457893,218.47865594492472,0.1071428571428571,1,scraping,user_1022,192.168.70.47,6.879999999999999,21.42857142857142,21.42857142857142,11.11111111111111,70,100.0,10.71428571428571,31.02,NORMAL,Very short request intervals; Large geographic movement
session_005e255de757,21,26.0,48.46153846153846,0.0476190476190476,0.2857142857142857,9,0.4285714285714285,1.238095238095238,0.5389584311207966,0.0,0.0,0.0,0.0,0.6666666666666666,0,normal,user_0194,192.168.242.184,76.92307692307692,4.76190476190476,28.57142857142857,66.66666666666666,100,0.0,66.66666666666666,50.86,SUSPICIOUS,High request frequency; Very short request intervals
session_006afde054fa,43,23.0,112.17391304347824,0.0465116279069767,0.3720930232558139,12,0.2790697674418604,0.5348837209302325,0.5046845884077512,1.0,0.0,0.0,0.0,0.5348837209302325,1,flooding,user_0197,192.168.207.31,100.0,4.65116279069767,37.20930232558139,100.0,100,0.0,53.48837209302325,57.67,SUSPICIOUS,High request frequency; Unusual endpoint exploration; Very short request intervals
session_00821d09e531,24,932.0,1.5450643776824031,0.0,0.0833333333333333,9,0.375,38.833333333333336,34.430353982529994,0.0,0.0,0.0,0.0,0.0,0,normal,user_0481,192.168.197.73,0.0,0.0,8.33333333333333,66.66666666666666,0,0.0,0.0,7.5,NORMAL,No major behavioral anomaly detected
session_00850f2193c7,27,923.0,1.7551462621885157,0.037037037037037,0.0,10,0.3703703703703703,34.18518518518518,29.00667965120214,0.0,0.0,0.0,0.0,0.0,0,normal,user_0854,192.168.31.62,0.0,3.7037037037037,0.0,77.77777777777779,0,0.0,0.0,8.52,NORMAL,Unusual endpoint exploration
session_0092545d517f,7,285.0,1.4736842105263157,0.0,0.2857142857142857,5,0.7142857142857143,40.71428571428572,49.78525312350463,0.0,0.0,0.0,0.0,0.1428571428571428,0,normal,user_0798,192.168.124.201,0.0,0.0,28.57142857142857,22.22222222222222,0,0.0,14.28571428571428,7.22,NORMAL,No major behavioral anomaly detected
session_00a01324bf28,16,20.0,48.0,0.0,0.0625,7,0.4375,1.25,0.5773502691896257,1.0,0.0,0.0,0.0,0.625,0,normal,user_0101,192.168.126.65,76.0,0.0,6.25,44.44444444444444,100,0.0,62.5,44.64,SUSPICIOUS,High request frequency; Very short request intervals
session_00c211463aa6,19,249.0,4.578313253012047,0.1578947368421052,0.5263157894736842,9,0.4736842105263157,13.105263157894736,6.81415794783271,0.0,90190.68743062922,10826.929666139167,4746.87828582259,0.0,1,geo_anomaly,user_1876,192.168.185.227,0.0,15.78947368421052,52.63157894736842,66.66666666666666,0,100.0,0.0,25.09,NORMAL,High API error ratio; Large geographic movement
session_00d406e43aa6,22,650.0,2.0307692307692307,0.0,0.1818181818181818,9,0.4090909090909091,29.545454545454547,25.77138921681372,0.0,0.0,0.0,0.0,0.0454545454545454,0,normal,user_1375,192.168.119.129,0.0,0.0,18.18181818181818,66.66666666666666,0,0.0,4.54545454545454,9.17,NORMAL,No major behavioral anomaly detected
session_00d5075498cd,21,66.0,19.09090909090909,0.0952380952380952,0.5238095238095238,4,0.1904761904761904,3.142857142857143,1.4589624493356328,1.0,0.0,0.0,0.0,0.0952380952380952,1,endpoint_spam,user_1836,192.168.221.230,18.18181818181818,9.52380952380952,52.38095238095239,11.11111111111111,70,0.0,9.52380952380952,23.82,NORMAL,High API error ratio; Very short request intervals
session_00e626396302,28,497.0,3.380281690140845,0.0357142857142857,0.0357142857142857,10,0.3571428571428571,17.75,15.845609276179106,0.0,0.0,0.0,0.0,0.3928571428571428,0,normal,user_0692,192.168.97.21,0.0,3.57142857142857,3.57142857142857,77.77777777777779,0,0.0,39.28571428571428,14.74,NORMAL,Unusual endpoint exploration
session_00f9cfafafe2,43,17.0,151.76470588235296,0.1162790697674418,0.3255813953488372,13,0.3023255813953488,0.3953488372093023,0.494711791215515,0.0,0.0,0.0,0.0,0.3953488372093023,1,flooding,user_1859,192.168.170.39,100.0,11.62790697674418,32.558139534883715,100.0,100,0.0,39.53488372093023,56.51,SUSPICIOUS,High request frequency; Unusual endpoint exploration; Very short request intervals
session_010bd3c9962b,21,553.0,2.278481012658228,0.0476190476190476,0.1428571428571428,7,0.3333333333333333,26.33333333333333,36.80534381490457,0.0,0.0,0.0,0.0,0.0476190476190476,0,normal,user_1404,192.168.237.47,0.0,4.76190476190476,14.28571428571428,44.44444444444444,0,0.0,4.76190476190476,7.54,NORMAL,No major behavioral anomaly detected
session_01459c4d2537,9,125.0,4.319999999999999,0.3333333333333333,0.1111111111111111,7,0.7777777777777778,13.88888888888889,8.283182426526118,0.0,40973.77802587994,12401.549062487613,4552.642002875549,0.0,1,geo_anomaly,user_0515,192.168.12.91,0.0,33.33333333333333,11.11111111111111,44.44444444444444,0,100.0,0.0,22.22,NORMAL,Large geographic movement
session_0163c7bd7527,20,25.0,48.0,0.05,0.2,8,0.4,1.25,0.5501196042201808,1.0,0.0,0.0,0.0,0.65,0,normal,user_0379,192.168.78.118,76.0,5.0,20.0,55.55555555555556,100,0.0,65.0,48.51,SUSPICIOUS,High request frequency; Very short request intervals
session_0169c7a4ffe2,27,565.0,2.8672566371681416,0.074074074074074,0.037037037037037,13,0.4814814814814814,20.925925925925927,18.369971160996432,0.0,0.0,0.0,0.0,0.0,0,normal,user_0407,192.168.145.169,0.0,7.4074074074074,3.7037037037037,100.0,0,0.0,0.0,11.85,NORMAL,Unusual endpoint exploration
session_0185923cf99a,12,257.0,2.8015564202334637,0.0833333333333333,0.0833333333333333,6,0.5,21.416666666666668,19.45838605534354,0.0,0.0,0.0,0.0,0.0833333333333333,0,normal,user_1039,192.168.16.6,0.0,8.33333333333333,8.33333333333333,33.33333333333333,0,0.0,8.33333333333333,7.08,NORMAL,No major behavioral anomaly detected
session_019ef1644e1a,40,51.0,47.05882352941177,0.1,0.075,14,0.35,1.275,0.5541220822628187,0.0,0.0,0.0,0.0,0.625,0,normal,user_1300,192.168.76.115,74.11764705882354,10.0,7.5,100.0,100,0.0,62.5,51.95,SUSPICIOUS,High request frequency; Unusual endpoint exploration; Very short request intervals
session_01b2262c035a,32,542.0,3.5424354243542435,0.21875,0.25,11,0.34375,16.9375,7.32180790295279,0.0,152101.24785021995,10826.929666139167,4753.1639953193735,0.0,1,geo_anomaly,user_0718,192.168.207.119,0.0,21.875,25.0,88.88888888888889,0,100.0,0.0,25.76,NORMAL,Unusual endpoint exploration; Large geographic movement
session_01b54cf3fb9c,21,40.0,31.5,0.7142857142857143,0.9047619047619048,1,0.0476190476190476,1.9047619047619049,0.9436504599035548,0.0,0.0,0.0,0.0,0.1904761904761904,1,brute_force,user_0412,192.168.153.22,43.0,71.42857142857143,90.47619047619048,0.0,100,0.0,19.04761904761904,49.79,SUSPICIOUS,High failed authentication ratio; High API error ratio; Very short request intervals
session_01bed0323499,36,19.0,113.6842105263158,0.1944444444444444,0.5555555555555556,13,0.3611111111111111,0.5277777777777778,0.506309397848002,0.0,0.0,0.0,0.0,0.5277777777777778,1,flooding,user_1791,192.168.124.40,100.0,19.44444444444444,55.55555555555556,100.0,100,0.0,52.77777777777778,62.36,SUSPICIOUS,High request frequency; High API error ratio; Unusual endpoint exploration; Very short request intervals
session_01c3a77db520,10,264.0,2.2727272727272725,0.0,0.1,7,0.7,26.4,25.82935453230598,0.0,0.0,0.0,0.0,0.1,0,normal,user_1626,192.168.43.203,0.0,0.0,10.0,44.44444444444444,0,0.0,10.0,6.94,NORMAL,No major behavioral anomaly detected
session_01cf1774d567,47,61.0,46.22950819672131,0.0212765957446808,0.1914893617021276,10,0.2127659574468085,1.297872340425532,0.5866223737940002,0.0,0.0,0.0,0.0,0.574468085106383,0,normal,user_0088,192.168.68.102,72.45901639344262,2.1276595744680797,19.14893617021276,77.77777777777779,100,0.0,57.446808510638306,48.23,SUSPICIOUS,High request frequency; Unusual endpoint exploration; Very short request intervals
session_01d2b662f580,34,56.0,36.42857142857143,0.9705882352941176,0.9117647058823528,1,0.0294117647058823,1.6470588235294117,0.8486121625899216,0.0,0.0,0.0,0.0,0.3235294117647059,1,brute_force,user_0672,192.168.96.107,52.85714285714286,97.05882352941177,91.17647058823528,0.0,100,0.0,32.35294117647059,58.95,SUSPICIOUS,High failed authentication ratio; High API error ratio; Very short request intervals
