timestamp,user_id,ip_address,session_id,endpoint,http_method,status_code,response_time_ms,auth_success,latitude,longitude,location,user_agent,request_size,response_size,scenario,label
2026-01-01 00:00:07,user_0768,192.168.12.237,session_682181a67bfc,/api/products/search,GET,201,349.6,True,19.076,72.8777,Mumbai,Safari,3950,1445,normal,0
2026-01-01 00:00:09,user_0768,192.168.12.237,session_682181a67bfc,/api/orders,POST,200,280.67,True,19.076,72.8777,Mumbai,Safari,776,40793,normal,0
2026-01-01 00:00:10,user_0768,192.168.12.237,session_682181a67bfc,/api/orders,POST,200,151.73,True,19.076,72.8777,Mumbai,Safari,1497,3398,normal,0
2026-01-01 00:00:11,user_0768,192.168.12.237,session_682181a67bfc,/api/profile,PUT,200,149.68,True,19.076,72.8777,Mumbai,Safari,1715,6646,normal,0
2026-01-01 00:00:12,user_0768,192.168.12.237,session_682181a67bfc,/api/products/search,GET,200,103.13,True,19.076,72.8777,Mumbai,Safari,1492,3351,normal,0
2026-01-01 00:00:13,user_0768,192.168.12.237,session_682181a67bfc,/api/orders,GET,200,162.75,True,19.076,72.8777,Mumbai,Safari,3045,42781,normal,0
2026-01-01 00:00:15,user_0768,192.168.12.237,session_682181a67bfc,/api/login,GET,200,167.57,True,19.076,72.8777,Mumbai,Safari,4271,26054,normal,0
2026-01-01 00:00:16,user_0768,192.168.12.237,session_682181a67bfc,/api/logout,GET,200,210.06,True,19.076,72.8777,Mumbai,Safari,1351,40481,normal,0
2026-01-01 00:00:17,user_0768,192.168.12.237,session_682181a67bfc,/api/payment,GET,200,103.86,True,19.076,72.8777,Mumbai,Safari,4532,9795,normal,0
2026-01-01 00:00:19,user_0768,192.168.12.237,session_682181a67bfc,/api/settings,GET,200,200.41,True,19.076,72.8777,Mumbai,Safari,2992,31556,normal,0
2026-01-01 00:00:20,user_1100,192.168.67.82,session_40835e558103,/api/settings,PUT,200,233.4,True,19.076,72.8777,Mumbai,Chrome,3630,16120,normal,0
2026-01-01 00:00:20,user_0768,192.168.12.237,session_682181a67bfc,/api/cart,PUT,200,130.84,True,19.076,72.8777,Mumbai,Safari,3457,10384,normal,0
2026-01-01 00:00:22,user_0768,192.168.12.237,session_682181a67bfc,/api/profile,GET,200,166.28,True,19.076,72.8777,Mumbai,Safari,3865,41872,normal,0
2026-01-01 00:00:23,user_0768,192.168.12.237,session_682181a67bfc,/api/products,GET,200,123.96,True,19.076,72.8777,Mumbai,Safari,3408,7266,normal,0
2026-01-01 00:00:24,user_0768,192.168.12.237,session_682181a67bfc,/api/orders,GET,200,128.53,True,19.076,72.8777,Mumbai,Safari,1147,37757,normal,0
2026-01-01 00:00:26,user_0768,192.168.12.237,session_682181a67bfc,/api/reviews,GET,200,148.22,True,19.076,72.8777,Mumbai,Safari,1071,39961,normal,0
2026-01-01 00:00:27,user_0768,192.168.12.237,session_682181a67bfc,/api/orders/history,GET,200,79.45,True,19.076,72.8777,Mumbai,Safari,1519,15055,normal,0
2026-01-01 00:00:28,user_0768,192.168.12.237,session_682181a67bfc,/api/profile,GET,200,159.25,True,19.076,72.8777,Mumbai,Safari,311,29859,normal,0
2026-01-01 00:00:30,user_0768,192.168.12.237,session_682181a67bfc,/api/orders,POST,200,182.49,True,19.076,72.8777,Mumbai,Safari,644,37976,normal,0
2026-01-01 00:00:31,user_0768,192.168.12.237,session_682181a67bfc,/api/cart,PUT,200,165.11,True,19.076,72.8777,Mumbai,Safari,586,37861,normal,0
2026-01-01 00:00:32,user_0768,192.168.12.237,session_682181a67bfc,/api/orders,GET,200,295.29,True,19.076,72.8777,Mumbai,Safari,967,25497,normal,0
2026-01-01 00:00:34,user_0768,192.168.12.237,session_682181a67bfc,/api/users,PUT,200,176.08,True,19.076,72.8777,Mumbai,Safari,4901,12690,normal,0
2026-01-01 00:00:35,user_0768,192.168.12.237,session_682181a67bfc,/api/orders,GET,200,164.25,True,19.076,72.8777,Mumbai,Safari,2037,22879,normal,0
2026-01-01 00:00:37,user_0768,192.168.12.237,session_682181a67bfc,/api/reviews,GET,200,88.32,True,19.076,72.8777,Mumbai,Safari,1619,26676,normal,0
2026-01-01 00:00:38,user_0768,192.168.12.237,session_682181a67bfc,/api/cart,GET,200,215.21,True,19.076,72.8777,Mumbai,Safari,1034,48379,normal,0
2026-01-01 00:00:39,user_0768,192.168.12.237,session_682181a67bfc,/api/profile,GET,200,189.28,True,19.076,72.8777,Mumbai,Safari,3888,49959,normal,0
2026-01-01 00:00:40,user_0768,192.168.12.237,session_682181a67bfc,/api/settings,PUT,200,271.44,True,19.076,72.8777,Mumbai,Safari,3582,16564,normal,0
2026-01-01 00:00:42,user_0768,192.168.12.237,session_682181a67bfc,/api/products/search,GET,200,230.66,True,19.076,72.8777,Mumbai,Safari,2682,26293,normal,0
2026-01-01 00:00:43,user_0768,192.168.12.237,session_682181a67bfc,/api/cart,GET,200,102.21,True,19.076,72.8777,Mumbai,Safari,416,10979,normal,0
2026-01-01 00:00:45,user_0768,192.168.12.237,session_682181a67bfc,/api/profile,PUT,200,104.46,True,19.076,72.8777,Mumbai,Safari,2421,46600,normal,0
2026-01-01 00:00:46,user_0768,192.168.12.237,session_682181a67bfc,/api/logout,GET,201,239.36,True,19.076,72.8777,Mumbai,Safari,1347,47183,normal,0
2026-01-01 00:00:48,user_0768,192.168.12.237,session_682181a67bfc,/api/login,GET,200,117.0,True,19.076,72.8777,Mumbai,Safari,4767,8653,normal,0
2026-01-01 00:00:49,user_0768,192.168.12.237,session_682181a67bfc,/api/products,PUT,201,177.34,True,19.076,72.8777,Mumbai,Safari,3436,1136,normal,0
2026-01-01 00:00:51,user_0768,192.168.12.237,session_682181a67bfc,/api/payment,GET,200,112.34,False,19.076,72.8777,Mumbai,Safari,1116,1622,normal,0
2026-01-01 00:00:52,user_0768,192.168.12.237,session_682181a67bfc,/api/orders,PUT,200,164.29,True,19.076,72.8777,Mumbai,Safari,1767,28698,normal,0
2026-01-01 00:00:54,user_0768,192.168.12.237,session_682181a67bfc,/api/notifications,POST,200,234.91,True,19.076,72.8777,Mumbai,Safari,868,8957,normal,0
2026-01-01 00:01:11,user_1100,192.168.67.82,session_40835e558103,/api/products,GET,200,133.49,True,19.076,72.8777,Mumbai,Chrome,2980,23269,normal,0
